Number ,Isolate name,Sequence name,Alignment  name,Unique name,Tree name,Species,Sequenced by,Country,Country code,Location,Source group,Source three letter,Source,Isolate from ,Date,Year ,ST,CC,sp,mec,Class,Order,Family,Subfamily,Genus,Species,Reference,Source,Number in collection,ERR number,ERR.number.tips,ERR.number.tips.filtered
461,4395_3#5,4395_3#5,4395_3#5_LGA251,439535,439535_Human_125_5,Staphylococcus aureus,EARRS,Spain,ESP,,Human,HUM,Human,,10/10/06,2006,125,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033531,ERR033531,ERR033531
462,4395_3#6,4395_3#6,4395_3#6_LGA251,439536,439536_Human_125_5,Staphylococcus aureus,EARRS,Spain,ESP,,Human,HUM,Human,,10/18/06,2006,125,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033532,ERR033532,ERR033532
463,4395_3#7,4395_3#7,4395_3#7_LGA251,439537,439537_Human_1_1,Staphylococcus aureus,EARRS,Spain,ESP,,Human,HUM,Human,,10/21/06,2006,1,1,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033533,ERR033533,ERR033533
464,4395_3#8,4395_3#8,4395_3#8_LGA251,439538,439538_Human_2870_5,Staphylococcus aureus,EARRS,Spain,ESP,,Human,HUM,Human,,9/21/06,2006,2870,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033534,ERR033534,ERR033534
465,4395_3#9,4395_3#9,4395_3#9_LGA251,439539,439539_Human_123_123,Staphylococcus aureus,EARRS,Spain,ESP,,Human,HUM,Human,,9/21/06,2006,123,123,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033535,ERR033535,ERR033535
466,4414_1#1,4414_1#1,4414_1#1_LGA251,441411,441411_Human_30_30,Staphylococcus aureus,EARRS,Italy,ITA,,Human,HUM,Human,,9/12/06,2006,30,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033537,ERR033537,ERR033537
467,4414_1#10,4414_1#10,4414_1#10_LGA251,4414110,4414110_Human_1_1,Staphylococcus aureus,EARRS,Italy,ITA,,Human,HUM,Human,,10/12/06,2006,1,1,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033538,ERR033538,ERR033538
468,4414_1#12,4414_1#12,4414_1#12_LGA251,4414112,4414112_Human_101_101,Staphylococcus aureus,EARRS,Italy,ITA,,Human,HUM,Human,,10/7/06,2006,101,101,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033540,ERR033540,ERR033540
469,4414_1#2,4414_1#2,4414_1#2_LGA251,441412,441412_Human_5_5,Staphylococcus aureus,EARRS,Italy,ITA,,Human,HUM,Human,,9/27/06,2006,5,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033541,ERR033541,ERR033541
470,4414_1#3,4414_1#3,4414_1#3_LGA251,441413,441413_Human_30_30,Staphylococcus aureus,EARRS,Italy,ITA,,Human,HUM,Human,,10/18/06,2006,30,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033542,ERR033542,ERR033542
471,4414_1#5,4414_1#5,4414_1#5_LGA251,441415,441415_Human_228_5,Staphylococcus aureus,EARRS,Italy,ITA,,Human,HUM,Human,,10/5/06,2006,228,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033544,ERR033544,ERR033544
472,4414_1#6,4414_1#6,4414_1#6_LGA251,441416,441416_Human_7_7,Staphylococcus aureus,EARRS,Italy,ITA,,Human,HUM,Human,,9/18/06,2006,7,7,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033545,ERR033545,ERR033545
473,4414_1#8,4414_1#8,4414_1#8_LGA251,441418,441418_Human_12_12,Staphylococcus aureus,EARRS,Italy,ITA,,Human,HUM,Human,,9/14/06,2006,12,12,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033547,ERR033547,ERR033547
474,4414_2#1,4414_2#1,4414_2#1_LGA251,441421,441421_Human_30_30,Staphylococcus aureus,EARRS,Poland,POL,,Human,HUM,Human,,9/4/06,2006,30,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033550,ERR033550,ERR033550
475,4414_2#10,4414_2#10,4414_2#10_LGA251,4414210,4414210_Human_45_45,Staphylococcus aureus,EARRS,Poland,POL,,Human,HUM,Human,,12/12/06,2006,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033551,ERR033551,ERR033551
476,4414_2#12,4414_2#12,4414_2#12_LGA251,4414212,4414212_Human_22_22,Staphylococcus aureus,EARRS,Portugal,PRT,,Human,HUM,Human,,9/28/06,2006,22,22,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033553,ERR033553,ERR033553
477,4414_2#2,4414_2#2,4414_2#2_LGA251,441422,441422_Human_5_5,Staphylococcus aureus,EARRS,Poland,POL,,Human,HUM,Human,,1/11/07,2007,5,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033554,ERR033554,ERR033554
478,4414_2#3,4414_2#3,4414_2#3_LGA251,441423,441423_Human_22_22,Staphylococcus aureus,EARRS,Portugal,PRT,,Human,HUM,Human,,10/2/06,2006,22,22,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033555,ERR033555,ERR033555
479,4414_2#4,4414_2#4,4414_2#4_LGA251,441424,441424_Human_30_30,Staphylococcus aureus,EARRS,Portugal,PRT,,Human,HUM,Human,,10/4/06,2006,30,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033556,ERR033556,ERR033556
480,4414_2#5,4414_2#5,4414_2#5_LGA251,441425,441425_Human_5_5,Staphylococcus aureus,EARRS,Poland,POL,,Human,HUM,Human,,1/3/07,2007,5,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033557,ERR033557,ERR033557
481,4414_2#6,4414_2#6,4414_2#6_LGA251,441426,441426_Human_45_45,Staphylococcus aureus,EARRS,Poland,POL,,Human,HUM,Human,,1/12/07,2007,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033558,ERR033558,ERR033558
482,4414_2#7,4414_2#7,4414_2#7_LGA251,441427,441427_Human_241_8,Staphylococcus aureus,EARRS,Poland,POL,,Human,HUM,Human,,10/5/06,2006,241,8,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033559,ERR033559,ERR033559
483,4414_2#8,4414_2#8,4414_2#8_LGA251,441428,441428_Human_5_5,Staphylococcus aureus,EARRS,Poland,POL,,Human,HUM,Human,,11/14/06,2006,5,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033560,ERR033560,ERR033560
484,4414_2#9,4414_2#9,4414_2#9_LGA251,441429,441429_Human_109_9,Staphylococcus aureus,EARRS,Portugal,PRT,,Human,HUM,Human,,10/25/06,2006,109,9,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033561,ERR033561,ERR033561
485,4414_3#1,4414_3#1,4414_3#1_LGA251,441431,441431_Human_35_15,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,9/12/06,2006,35,15,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033563,ERR033563,ERR033563
486,4414_3#10,4414_3#10,4414_3#10_LGA251,4414310,4414310_Human_45_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,11/1/06,2006,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033564,ERR033564,ERR033564
487,4414_3#11,4414_3#11,4414_3#11_LGA251,4414311,4414311_Human_45_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,11/8/06,2006,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033565,ERR033565,ERR033565
488,4414_3#12,4414_3#12,4414_3#12_LGA251,4414312,4414312_Human_45_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/5/06,2006,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033566,ERR033566,ERR033566
489,4414_3#2,4414_3#2,4414_3#2_LGA251,441432,441432_Human_2881_88,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/3/06,2006,2881,88,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033567,ERR033567,ERR033567
490,4414_3#3,4414_3#3,4414_3#3_LGA251,441433,441433_Human_45_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/17/06,2006,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033568,ERR033568,ERR033568
491,4414_3#4,4414_3#4,4414_3#4_LGA251,441434,441434_Human_395_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,12/10/06,2006,395,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033569,ERR033569,ERR033569
492,4414_3#5,4414_3#5,4414_3#5_LGA251,441435,441435_Human_15_15,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/8/06,2006,15,15,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033570,ERR033570,ERR033570
493,4414_3#6,4414_3#6,4414_3#6_LGA251,441436,441436_Human_NA_15,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/13/06,2006,NULL,15,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033571,ERR033571,ERR033571
494,4414_3#7,4414_3#7,4414_3#7_LGA251,441437,441437_Human_34_30,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,12/14/06,2006,34,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033572,ERR033572,ERR033572
495,4414_3#8,4414_3#8,4414_3#8_LGA251,441438,441438_Human_8_8,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,11/20/06,2006,8,8,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033573,ERR033573,ERR033573
496,4414_3#9,4414_3#9,4414_3#9_LGA251,441439,441439_Human_8_8,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,9/30/06,2006,8,8,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033574,ERR033574,ERR033574
497,4414_5#1,4414_5#1,4414_5#1_LGA251,441451,441451_Human_15_15,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/12/06,2006,15,15,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033576,ERR033576,ERR033576
498,4414_5#10,4414_5#10,4414_5#10_LGA251,4414510,4414510_Human_45_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,1/3/07,2007,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033577,ERR033577,ERR033577
499,4414_5#11,4414_5#11,4414_5#11_LGA251,4414511,4414511_Human_30_30,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,11/19/06,2006,30,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033578,ERR033578,ERR033578
500,4414_5#12,4414_5#12,4414_5#12_LGA251,4414512,4414512_Human_15_15,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/6/06,2006,15,15,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033579,ERR033579,ERR033579
501,4414_5#2,4414_5#2,4414_5#2_LGA251,441452,441452_Human_12_12,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/12/06,2006,12,12,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033580,ERR033580,ERR033580
502,4414_5#3,4414_5#3,4414_5#3_LGA251,441453,441453_Human_2879_30,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/23/06,2006,2879,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033581,ERR033581,ERR033581
503,4414_5#4,4414_5#4,4414_5#4_LGA251,441454,441454_Human_45_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,11/1/06,2006,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033582,ERR033582,ERR033582
504,4414_5#5,4414_5#5,4414_5#5_LGA251,441455,441455_Human_22_22,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/23/06,2006,22,22,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033583,ERR033583,ERR033583
505,4414_5#6,4414_5#6,4414_5#6_LGA251,441456,441456_Human_45_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/5/06,2006,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033584,ERR033584,ERR033584
506,4414_5#7,4414_5#7,4414_5#7_LGA251,441457,441457_Human_5_5,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/12/06,2006,5,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033585,ERR033585,ERR033585
507,4414_5#8,4414_5#8,4414_5#8_LGA251,441458,441458_Human_46_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/3/06,2006,46,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033586,ERR033586,ERR033586
508,4414_5#9,4414_5#9,4414_5#9_LGA251,441459,441459_Human_1156_12,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/11/06,2006,1156,12,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033587,ERR033587,ERR033587
509,4414_6#1,4414_6#1,4414_6#1_LGA251,441461,441461_Human_30_30,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/4/06,2006,30,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033589,ERR033589,ERR033589
510,4414_6#10,4414_6#10,4414_6#10_LGA251,4414610,4414610_Human_30_30,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/6/06,2006,30,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033590,ERR033590,ERR033590
511,4414_6#12,4414_6#12,4414_6#12_LGA251,4414612,4414612_Human_15_15,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,12/3/06,2006,15,15,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033592,ERR033592,ERR033592
512,4414_6#2,4414_6#2,4414_6#2_LGA251,441462,441462_Human_30_30,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/5/06,2006,30,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033593,ERR033593,ERR033593
513,4414_6#3,4414_6#3,4414_6#3_LGA251,441463,441463_Human_45_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/13/06,2006,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033594,ERR033594,ERR033594
514,4414_6#4,4414_6#4,4414_6#4_LGA251,441464,441464_Human_88_88,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/30/06,2006,88,88,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033595,ERR033595,ERR033595
515,4414_6#5,4414_6#5,4414_6#5_LGA251,441465,441465_Human_111_5,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,11/2/06,2006,111,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033596,ERR033596,ERR033596
516,4414_6#6,4414_6#6,4414_6#6_LGA251,441466,441466_Human_45_45,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,10/11/06,2006,45,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033597,ERR033597,ERR033597
517,4414_6#7,4414_6#7,4414_6#7_LGA251,441467,441467_Human_20_20,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,11/23/06,2006,20,20,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033598,ERR033598,ERR033598
518,4414_6#9,4414_6#9,4414_6#9_LGA251,441469,441469_Human_15_15,Staphylococcus aureus,EARRS,Sweden,SWE,,Human,HUM,Human,,12/30/06,2006,15,15,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033600,ERR033600,ERR033600
519,4415_2#10,4415_2#10,4415_2#10_LGA251,4415210,4415210_Human_1_1,Staphylococcus aureus,EARRS,UK,GBR,,Human,HUM,Human,,9/1/06,2006,1,1,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033603,ERR033603,ERR033603
520,4415_2#12,4415_2#12,4415_2#12_LGA251,4415212,4415212_Human_22_22,Staphylococcus aureus,EARRS,UK,GBR,,Human,HUM,Human,,9/19/06,2006,22,22,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033605,ERR033605,ERR033605
521,4415_2#2,4415_2#2,4415_2#2_LGA251,441522,441522_Human_15_15,Staphylococcus aureus,EARRS,UK,GBR,,Human,HUM,Human,,Sept 2006 - Feb 2007,,15,15,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033606,ERR033606,ERR033606
522,4415_2#3,4415_2#3,4415_2#3_LGA251,441523,441523_Human_22_22,Staphylococcus aureus,EARRS,UK,GBR,,Human,HUM,Human,,9/23/06,2006,22,22,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Aanensen DM, et al. Whole-Genome Sequencing for Routine Pathogen Surveillance in Public Health: a Population Snapshot of Invasive Staphylococcus aureus in Europe. MBio 7,  (2016).",,,ERR033607,ERR033607,ERR033607
